CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE,,,CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
50,Z363405135,13,1274169,2023-12-13,,,T302157461,Maxima,Nissan,1990,34319
51,V628891543,28,1352204,2023-11-25,,,E908328547,Rabbit,Volkswagen,2009,1218
52,H957734696,8,195776,2023-11-06,,,A644157470,Diamante,Mitsubishi,2002,67736
53,P993704205,22,541354,2023-09-20,,,T395317199,Type 2,Volkswagen,1990,7883
54,B926164119,20,1733320,2023-04-26,,,I031696937,MX-3,Mazda,1994,44523
55,X460676864,18,885582,2023-08-25,,,H557805714,Continental Super,Bentley,2011,73754
56,T394178361,17,294950,2023-04-13,,,F664920040,E-Series,Ford,2001,90570
57,U129684275,7,357504,2023-02-26,,,L349083906,Q7,Audi,2011,6484
58,W177054398,4,389896,2023-02-15,,,G255857757,Express 2500,Chevrolet,2002,56238
59,T338673690,27,77841,2023-06-29,,,Q864662250,Safari,GMC,1993,92063
60,X592842496,28,1049076,2023-12-13,,,W702123429,Vitara,Suzuki,2003,47040
61,G683484616,9,297720,2023-08-12,,,C907353087,Equinox,Chevrolet,2006,96783
62,A243637392,15,339120,2023-02-08,,,K211857013,911,Porsche,2013,7000
63,H870694072,6,131706,2023-09-01,,,L625837335,Fleetwood,Cadillac,1992,4863
64,T525001063,27,1758375,2023-06-09,,,W349969931,Grand Marquis,Mercury,1989,26244
65,V067743277,28,2773848,2023-03-24,,,H870694072,MDX,Acura,2002,21951
66,G627197312,7,492688,2023-10-25,,,O516198682,Probe,Ford,1994,50672
67,O271584345,4,385372,2023-05-09,,,T856630757,Solstice,Pontiac,2006,4935
68,U267427652,5,91860,2023-07-02,,,N041500963,Grand Marquis,Mercury,2010,11614
69,J430982474,18,580338,2023-07-06,,,P461233551,9000,Saab,1989,43222
70,N368048154,18,822888,2023-03-21,,,C120654890,Pathfinder,Nissan,2008,76337
71,S207311845,2,189482,2023-12-09,,,G142738053,Miata MX-5,Mazda,2000,58273
72,N250087252,27,2119932,2023-02-05,,,Q143926023,Tacoma,Toyota,2009,18477
73,K211857013,3,21000,2023-02-09,,,X131004086,Cougar,Mercury,1988,59176
74,Y797907863,10,996560,2023-09-14,,,P246723579,Thunderbird,Ford,1994,88938
75,C484508960,1,26470,2023-03-04,,,G683484616,Firebird,Pontiac,1997,33080
76,W536888744,22,660946,2023-10-03,,,A723048111,SL-Class,Mercedes-Benz,2001,33575
77,R488380566,22,799524,2023-07-05,,,H254115758,Sidekick,Suzuki,1994,56103
78,W215461434,30,2661630,2023-10-13,,,J695996090,Veyron,Bugatti,2009,58351
79,G661171237,22,783662,2023-07-19,,,P236689160,S-Series,Saturn,2001,48522
80,R685212970,21,116592,2023-09-10,,,P500381193,Pathfinder,Nissan,2010,14260
81,G245179103,17,60180,2023-01-29,,,S013501024,VehiCROSS,Isuzu,2001,2125
82,T394178361,2,34700,2023-02-25,,,S027552319,Liberty,Jeep,2008,45747
83,S720565277,8,505928,2023-08-15,,,R685212970,Sedona,Kia,2007,5552
84,N979782390,17,1425348,2023-02-19,,,K294839640,CL-Class,Mercedes-Benz,2008,23862
85,Q766971885,3,104838,2023-05-24,,,D787383227,Trooper,Isuzu,1994,59318
86,B084899113,28,889728,2023-10-03,,,O434938265,E150,Ford,2003,26988
87,N903170547,25,1482400,2023-06-04,,,P897836561,Quest,Nissan,2000,71904
88,L942555157,7,266609,2023-10-28,,,O956865816,Tahoe,Chevrolet,1997,22160
89,S289337206,4,274296,2023-01-03,,,V030398847,S90,Volvo,1997,77874
90,O002990821,8,720872,2023-07-07,,,P224250726,Tracker,Chevrolet,1999,86995
91,C087693814,7,261086,2023-04-02,,,B251054713,Sierra 3500,GMC,2001,44561
92,H866453209,1,52499,2023-02-21,,,S414961513,GTI,Volkswagen,1995,36564
93,S894131414,8,612528,2023-11-25,,,Y716982804,Elise,Lotus,2005,32075
94,C633404888,7,129332,2023-11-06,,,S081217746,Sonata,Hyundai,1995,50392
95,Z832300084,26,953186,2023-10-08,,,G263512451,7 Series,BMW,1998,80616
96,Q653675753,11,818301,2023-08-12,,,C380984978,G-Series G30,Chevrolet,1993,39437
97,Y613538164,12,768108,2023-11-27,,,P024096291,G,Infiniti,2004,23374
98,A296436032,24,658008,2023-05-22,,,F277009561,Continental GT,Bentley,2012,82009
99,D508647407,9,190206,2023-11-12,,,L802028512,CT,Lexus,2011,22818
100,W890859975,2,110460,2023-12-07,,,C270043103,Sable,Mercury,1991,90497
101,M929043723,12,896568,2023-02-22,,,G994569414,Econoline E350,Ford,1998,92640
102,S729006635,5,364680,2023-03-01,,,T857924674,Q,Infiniti,1996,27004
103,N101035737,5,327045,2023-04-09,,,H125481266,F250,Ford,1993,9847
104,D825382288,4,240912,2023-09-26,,,Q794367626,Spectra5,Kia,2006,54356
105,R897366680,24,778224,2023-07-11,,,H447530732,Charger,Dodge,2008,82838
106,X731609153,26,1413568,2023-09-06,,,K098038286,Suburban 2500,Chevrolet,1999,6503
107,W483516717,11,681197,2023-09-04,,,H244899150,GLC,Mazda,1984,39039
108,Q142940321,24,2062920,2023-11-12,,,U427773141,MKX,Lincoln,2007,35191
109,D082402764,5,434040,2023-02-20,,,L297770115,TT,Audi,2008,1585
110,Y342036938,24,2024352,2023-03-19,,,W006011784,Spirit,Dodge,1995,43015
111,I977809955,18,861570,2023-01-11,,,V287280216,Hombre,Isuzu,1996,66428
112,X536101175,18,142416,2023-09-10,,,R308840841,Expedition,Ford,2000,79422
113,M848371534,18,1011438,2023-10-27,,,B983913043,Outback,Subaru,2004,66021
114,Q217424420,23,836027,2023-08-06,,,T017774655,Sportvan G30,Chevrolet,1995,76792
115,F704711829,19,1110835,2023-11-04,,,O502901405,LR3,Land Rover,2006,35102
116,X880159119,12,956748,2023-02-12,,,I977809955,RX-7,Mazda,1989,47865
117,O254429620,9,251172,2023-05-22,,,X111172529,Suburban 2500,Chevrolet,2000,33629
118,N588786186,29,2423385,2023-06-14,,,R045212163,Lancer,Mitsubishi,2008,15789
119,T058595213,1,69451,2023-01-06,,,T956573261,Bronco,Ford,1989,54373
120,H797052807,3,74229,2023-05-22,,,A296436032,Pilot,Honda,2005,27417
121,U407582858,13,1223313,2023-07-19,,,B783139563,Grand Vitara,Suzuki,2011,97755
122,J463563068,13,599885,2023-12-22,,,M594549425,Monte Carlo,Chevrolet,2006,35131
123,X183085995,23,25967,2023-01-21,,,C676921197,Envoy,GMC,2002,12351
124,L555685191,11,704308,2023-01-26,,,A228947734,S40,Volvo,2007,55965
125,D066878020,7,466837,2023-10-05,,,P314703686,323,Mazda,1992,31498
126,W319274254,19,1814975,2023-06-27,,,H105278694,Cirrus,Chrysler,1999,79399
127,P818844560,4,102200,2023-04-23,,,F704711829,Bravada,Oldsmobile,1997,58465
128,H669884465,18,563544,2023-04-14,,,G324648022,Tucson,Hyundai,2009,71001
129,H797052807,18,445374,2023-07-09,,,F054769969,Camry Hybrid,Toyota,2011,56720
130,V010582306,23,1714121,2023-03-20,,,U447532305,Durango,Dodge,2011,8751
131,B018346499,19,1888809,2023-10-17,,,J699515866,Galaxie,Ford,1966,84166
132,A015230780,4,199320,2023-02-14,,,L899573153,Touareg 2,Volkswagen,2009,92077
133,L485522619,30,1261140,2023-01-12,,,I858092019,Corvette,Chevrolet,1987,70477
134,P511871292,1,70431,2023-09-17,,,U288325031,Park Avenue,Buick,2002,77849
135,E928878967,8,673736,2023-05-03,,,Q031874019,Silverado 2500,Chevrolet,1999,35924
136,H433423845,23,126937,2023-09-30,,,P391192927,Brooklands,Bentley,2010,70320
137,Q217424420,24,872376,2023-12-10,,,G065805243,SL-Class,Mercedes-Benz,1986,47611
138,E288965213,9,119340,2023-11-11,,,I902190783,SRX,Cadillac,2009,97299
139,Y182660926,11,686191,2023-11-01,,,D566525219,Altima,Nissan,2001,54266
140,C380984978,6,236622,2023-10-12,,,M441192044,V8 Vantage,Aston Martin,2007,63496
141,Q143926023,3,55431,2023-05-13,,,V050397298,Century,Buick,1989,90690
142,K432300765,23,190578,2023-09-03,,,C087693814,Bronco II,Ford,1988,37298
143,U750243814,16,1411072,2023-03-09,,,U480695741,3000GT,Mitsubishi,1998,35999
144,F012873004,20,186240,2023-08-11,,,L792975340,SL-Class,Mercedes-Benz,2011,19715
145,S466601896,3,136119,2023-03-12,,,Z488013552,F350,Ford,2010,31753
146,P314703686,11,346478,2023-01-01,,,R342961335,Silverado 1500,Chevrolet,2006,56925
147,H870694072,13,285363,2023-08-25,,,D747892885,Miata MX-5,Mazda,2005,92290
148,A723048111,28,940100,2023-11-24,,,L826260140,Firebird Formula,Pontiac,1992,28829
149,B025758068,25,1905950,2023-06-28,,,F573128915,Bonneville,Pontiac,1964,31347
150,D842722205,28,1536332,2023-06-19,,,Z093709864,09월 03일,Saab,2001,63443
151,M425445185,13,645593,2023-04-15,,,F233952928,Safari,GMC,1996,91986
152,S027552319,10,457470,2023-07-18,,,W245969928,Cayman,Porsche,2012,60699
153,W426789524,6,257142,2023-07-17,,,M107246804,F150,Ford,1984,19338
154,F233952928,13,1195818,2023-08-12,,,H957734696,Sorento,Kia,2007,24472
155,N674133834,30,1215240,2023-11-28,,,V879895006,LX,Lexus,2011,61220
156,U750243814,20,1763840,2023-09-05,,,S668098910,Cirrus,Chrysler,1997,18450
157,F510555806,22,595122,2023-05-15,,,X347177369,9-7X,Saab,2007,58144
158,K912404783,23,767809,2023-10-05,,,Y269781051,E-Class,Mercedes-Benz,2003,72516
159,L776796466,2,51134,2023-12-01,,,L942555157,Yukon XL 1500,GMC,2006,38087
160,U741951707,21,1534155,2023-11-29,,,K499925090,Millenia,Mazda,1995,92973
161,Y692860867,21,1597869,2023-04-02,,,J195103144,Esprit,Lotus,1995,88779
162,L132949567,29,1378689,2023-06-18,,,M454765384,S8,Audi,2001,85320
163,O892921644,18,130428,2023-12-18,,,T525001063,Sonoma,GMC,2003,65125
164,V982691755,6,15810,2023-12-25,,,Q186361741,Custom Cruiser,Oldsmobile,1992,51498
165,V628891543,25,1207325,2023-03-24,,,W038984427,F350,Ford,2006,85869
166,Z742478223,10,11230,2023-11-12,,,V466222140,S4,Audi,2007,72292
167,A228947734,23,1287195,2023-01-22,,,U846505376,Camaro,Chevrolet,1974,17392
168,F983336578,25,2429725,2023-06-18,,,K849117844,Suburban 2500,Chevrolet,2009,62214
169,P818844560,8,204400,2023-04-18,,,L479407622,Freelander,Land Rover,2010,24182
170,I902190783,1,97299,2023-06-27,,,U990860816,Range Rover Sport,Land Rover,2011,97133
171,Q955787248,28,921788,2023-05-15,,,H287279513,09월 03일,Saab,2004,78197
172,O663336224,29,1228237,2023-02-10,,,B546304353,5 Series,BMW,2011,33034
173,D697293609,12,272256,2023-07-30,,,O448665958,Lancer,Mitsubishi,2001,28296
174,N588786186,8,668520,2023-10-09,,,S894131414,Town Car,Lincoln,2005,76566
175,T439170559,15,542790,2023-07-14,,,M425445185,Camry,Toyota,2011,49661
176,I142706049,23,1433222,2023-08-05,,,A010767385,Jetta,Volkswagen,2008,15030
177,K863150356,13,485797,2023-06-07,,,S717373067,W123,Mercedes-Benz,1977,29190
178,V345497468,6,480918,2023-10-01,,,G265673900,Precis,Mitsubishi,1986,15899
179,Y613538164,18,1152162,2023-07-18,,,M336560053,Tundra,Toyota,2004,78855
180,H194276166,25,2472500,2023-11-26,,,G661171237,Outlander Sport,Mitsubishi,2012,35621
181,M594687357,6,535710,2023-01-22,,,Y797907863,Civic,Honda,2010,99656
182,M943487957,27,2619459,2023-12-27,,,Y579409230,3500,Chevrolet,1992,88255
183,P511871292,4,281724,2023-11-01,,,R063315992,Mazda3,Mazda,2012,21205
184,W889091680,26,468104,2023-09-11,,,O271584345,Integra,Acura,1997,96343
185,S289337206,19,1302906,2023-12-05,,,K967283819,Rodeo Sport,Isuzu,2001,20784
186,Q979647062,10,231230,2023-06-16,,,V053300636,Solara,Toyota,1999,54982
187,U811815132,24,777720,2023-10-10,,,G148747023,V8 Vantage,Aston Martin,2009,99306
188,P536025382,22,324478,2023-06-01,,,K648253971,Express 2500,Chevrolet,2003,84878
189,K157947778,10,989230,2023-08-11,,,Z117933754,RX-8,Mazda,2006,16089
190,H870694072,19,417069,2023-12-06,,,V873161162,1500,Chevrolet,1996,30493
191,W706567633,17,324955,2023-08-18,,,V145978884,Savana 3500,GMC,2009,14993
192,D082402764,15,1302120,2023-11-26,,,A382490538,Aero 8,Morgan,2006,66938
193,A183314876,17,1341640,2023-12-24,,,Y171868639,Suburban 1500,Chevrolet,2010,19031
194,A775272526,26,301808,2023-11-22,,,N954067387,Colt,Dodge,1992,13798
195,C087693814,29,1081642,2023-08-05,,,T534927324,Ridgeline,Honda,2009,51213
196,C486762080,6,517440,2023-06-23,,,O513345910,Leganza,Daewoo,1999,27859
197,E054956624,12,558624,2023-12-05,,,I820340673,Ram 1500,Dodge,1996,12065
198,W801761065,18,1582542,2023-07-22,,,Z027365999,Jetta,Volkswagen,1997,23036
199,W252106239,23,1813757,2023-04-30,,,X396873831,NSX,Acura,1993,72102
200,I000309561,11,769901,2023-01-24,,,Y601963332,Mountaineer,Mercury,2007,53855
201,S414961513,19,694716,2023-11-14,,,N335389271,Mustang,Ford,1987,92755
202,P314703686,25,787450,2023-09-19,,,Y983186627,Type 2,Volkswagen,1988,81722
203,N392819870,17,1621460,2023-04-03,,,W627998236,V8 Vantage,Aston Martin,2011,52204
204,N975393626,29,987247,2023-02-02,,,D023403094,G35,Infiniti,2007,37092
205,G265673900,3,47697,2023-04-12,,,H214226296,Mazda3,Mazda,2007,75601
206,Y510598413,6,410166,2023-10-10,,,L251746539,Prizm,Geo,1994,76461
207,A838680227,21,879396,2023-12-10,,,E306830715,Frontier,Nissan,2000,35867
208,S493682362,11,375111,2023-06-30,,,F012873004,Alero,Oldsmobile,2003,9312
209,R006393132,4,330548,2023-01-21,,,R145944006,B-Series Plus,Mazda,1992,1569
210,V115176557,3,256515,2023-11-20,,,Q872715442,Econoline E150,Ford,2001,37148
211,G661171237,14,498694,2023-01-12,,,E648622675,6 Series,BMW,1989,8744
212,J456097220,16,538240,2023-04-16,,,G399765948,Transit Connect,Ford,2010,93456
213,K526395923,22,1276088,2023-10-10,,,O663336224,Coachbuilder,Buick,1990,42353
214,L976488757,4,224896,2023-08-03,,,A940722549,Silverado,Chevrolet,1999,76288
215,K060441678,12,825876,2023-01-24,,,I153209246,T100 Xtra,Toyota,1997,56739
216,W747843191,10,290960,2023-11-04,,,I506707088,Sorento,Kia,2008,11582
217,D243680166,29,2467610,2023-01-07,,,U124232076,GTI,Volkswagen,1992,49263
218,V713206780,25,880925,2023-06-29,,,C304398698,Express 2500,Chevrolet,2004,48046
219,S795721496,10,550800,2023-07-26,,,Z742478223,3 Series,BMW,1993,1123
220,E928878967,25,2105425,2023-03-29,,,S207311845,207,Peugeot,2006,94741
221,L297770115,12,19020,2023-01-25,,,R776416412,929,Mazda,1993,84168
222,W349969931,20,524880,2023-09-18,,,V178697294,Sierra 1500,GMC,2000,18033
223,W516605514,4,219840,2023-05-04,,,G555470524,Safari,GMC,1997,51244
224,N948004508,17,1393065,2023-08-15,,,W681083986,Savana 2500,GMC,2009,84124
225,S082335241,4,307552,2023-08-29,,,P222000440,Outlook,Saturn,2010,22695
226,Z793212332,28,939316,2023-01-04,,,U987757248,Colt,Dodge,1989,76665
227,E599401013,12,969600,2023-03-12,,,Y921904065,Legend,Acura,1989,89922
228,K496502540,10,990880,2023-11-29,,,J289932404,Rondo,Kia,2009,39162
229,L320696214,18,811350,2023-07-10,,,S795721496,MDX,Acura,2006,55080
230,T058595213,2,138902,2023-02-17,,,U828265421,Tribute,Mazda,2006,81355
231,R006393132,30,2479110,2023-10-29,,,D035741442,LeSabre,Buick,1995,90625
232,W976944973,27,885168,2023-11-22,,,X183085995,Elan,Lotus,1990,1129
233,L463133351,5,47185,2023-01-13,,,A775272526,XC90,Volvo,2004,11608
234,F524136742,18,336690,2023-10-12,,,F239751988,GTI,Volkswagen,1988,48620
235,G295849836,26,1205620,2023-01-22,,,P752852630,Bonneville,Pontiac,1986,16371
236,C502625116,8,317824,2023-01-08,,,V897288233,Mustang,Ford,2010,39641
237,B084899113,9,285984,2023-03-02,,,N526060534,Esteem,Suzuki,1999,11862
238,L708776341,15,304740,2023-01-06,,,J815969329,Murano,Nissan,2009,74525
239,Q979647062,29,670567,2023-06-03,,,L535485122,Avalanche,Chevrolet,2009,22637
240,H645206822,17,1104864,2023-12-16,,,W280805842,Outlander,Mitsubishi,2011,39813
241,P942578899,3,213765,2023-06-22,,,B059047199,Range Rover,Land Rover,1996,68532
242,Y937472721,2,51364,2023-05-15,,,Y870917756,R8,Audi,2008,95509
243,E262575359,26,884494,2023-07-17,,,J728350203,Villager,Mercury,1995,69842
244,F173852994,7,672077,2023-01-23,,,K525466793,F250,Ford,1999,99438
245,H874491629,16,1118080,2023-12-04,,,G901807390,Compass,Jeep,2008,87916
246,Y003939970,13,887640,2023-10-07,,,F073599766,M3,BMW,2006,52481
247,O663336224,14,592942,2023-11-21,,,N147457289,Thunderbird,Ford,2006,55696
248,D064426196,13,816140,2023-11-27,,,P793665209,Explorer,Ford,1996,86949
249,H237881012,26,1528514,2023-12-23,,,O684748006,RX,Lexus,2002,40836
250,X754687395,16,1396448,2023-07-03,,,G306245598,Escalade EXT,Cadillac,2006,92874
251,E286975003,17,1037952,2023-01-09,,,E288965213,3000GT,Mitsubishi,1998,13260
252,V287280216,10,664280,2023-01-11,,,G627197312,Justy,Subaru,1994,70384
253,U793064742,9,867402,2023-10-24,,,I287499056,Monte Carlo,Chevrolet,2007,85855
254,M594687357,20,1785700,2023-04-14,,,H625764902,Jetta,Volkswagen,1991,96311
255,J853207340,16,976400,2023-09-28,,,W516605514,Riviera,Buick,1996,54960
256,K496502540,14,1387232,2023-09-24,,,V798707875,Firefly,Pontiac,1987,18102
257,P758063670,16,1427392,2023-01-06,,,R535609618,Exige,Lotus,2011,16598
258,C129010249,23,1516965,2023-07-01,,,W973202434,Grand Prix,Pontiac,1998,49594
259,H625764902,27,2600397,2023-11-08,,,F313597919,900,Saab,1984,88723
260,Z117933754,16,257424,2023-02-20,,,X278877011,SLR McLaren,Mercedes-Benz,2008,97719
261,V109431887,27,707265,2023-04-27,,,L290012773,Grand Marquis,Mercury,1997,49744
262,G821038534,10,764700,2023-02-18,,,Z012094881,FX,Infiniti,2010,15723
263,C676921197,5,61755,2023-03-02,,,R344978972,5 Series,BMW,2003,92664
264,Z012094881,21,330183,2023-05-24,,,J456097220,Civic,Honda,2009,33640
265,B863206560,1,3556,2023-01-24,,,N392819870,911,Porsche,2002,95380
266,Q045450506,24,1645008,2023-01-04,,,V981564839,Defender 90,Land Rover,1994,98888
267,P635231862,25,1311725,2023-01-29,,,O271066400,Shadow,Dodge,1992,37147
268,Z454157415,7,690977,2023-06-25,,,B482485011,Savana 3500,GMC,1996,9138
269,U801239842,21,1089144,2023-09-18,,,M765241315,Expo,Mitsubishi,1992,42892
270,X880159119,5,398645,2023-10-18,,,V602852900,Express,Chevrolet,2006,91880
271,H596256921,9,230607,2023-03-14,,,W036837189,Cayenne,Porsche,2010,5447
272,N357761145,10,743560,2023-03-24,,,L776796466,Ram 2500,Dodge,2005,25567
273,J877656098,22,1966338,2023-04-22,,,A861146672,GTO,Mitsubishi,1998,66385
274,B657607458,10,747300,2023-01-27,,,X547437075,Mustang,Ford,1969,2219
275,S336943901,23,887248,2023-09-16,,,B170298237,TL,Acura,2000,44959
276,F524136742,20,374100,2023-05-17,,,H341927508,SLS AMG,Mercedes-Benz,2011,31568
277,C010521463,24,744936,2023-04-19,,,W512533704,SJ,Suzuki,1987,3123
278,P461233551,20,864440,2023-06-08,,,G373221450,900,Saab,1985,27043
279,H956117274,8,555792,2023-08-09,,,B198396987,L-Series,Saturn,2000,36927
280,O963740725,17,1542274,2023-04-06,,,S426674954,9000,Saab,1994,28541
281,B980619690,1,60869,2023-09-07,,,B855115307,Navigator L,Lincoln,2012,24669
282,E054956624,24,1117248,2023-10-07,,,Z221263507,E-Class,Mercedes-Benz,2003,14928
283,W016325087,10,423770,2023-05-11,,,V345497468,Tempo,Ford,1994,80153
284,F173852994,18,1728198,2023-05-21,,,D136469511,Truck,Mitsubishi,1991,94018
285,W801761065,14,1230866,2023-11-05,,,L043854502,Jetta,Volkswagen,2003,72456
286,B329912694,3,158205,2023-08-08,,,O797079941,S-Class,Mercedes-Benz,1986,79391
287,L625837335,23,111849,2023-06-11,,,W177054398,IS-F,Lexus,2011,97474
288,M929043723,8,597712,2023-09-04,,,B025758068,Eurovan,Volkswagen,1997,76238
289,N575791329,9,789534,2023-05-06,,,R425867759,400SEL,Mercedes-Benz,1993,74268
290,B059047199,29,1987428,2023-07-09,,,V333586969,Caravan,Dodge,2000,51969
291,E612715986,28,1339072,2023-10-13,,,P631422045,RX-8,Mazda,2005,27613
292,O516198682,5,253360,2023-03-10,,,G356830747,Rodeo,Isuzu,1998,68918
293,Y636652899,25,1217550,2023-12-17,,,F983336578,Cabriolet,Volkswagen,1986,97189
294,A243637392,28,633024,2023-05-07,,,K819849191,Express 1500,Chevrolet,1999,77327
295,Z117933754,25,402225,2023-04-10,,,C809725832,A6,Audi,2005,88120
296,F657366749,29,1199150,2023-03-18,,,U793064742,G,Infiniti,2008,96378
297,B254108403,4,345788,2023-03-05,,,E439214140,Insight,Honda,2003,79057
298,X347177369,11,639584,2023-08-01,,,Z454157415,S-Series,Saturn,1998,98711
299,N490876449,6,451872,2023-01-01,,,P623048563,Expedition EL,Ford,2008,90809
300,W944536769,23,365079,2023-04-30,,,Y613538164,Firefly,Pontiac,1984,64009
301,D329619475,24,199872,2023-01-13,,,Z545966983,Econoline E250,Ford,1998,63717
302,F173403811,9,279396,2023-10-29,,,P591207427,GTI,Volkswagen,1991,58018
303,G820110350,9,747684,2023-11-29,,,F262497319,Chariot,Mitsubishi,1993,88930
304,E387952749,18,1236438,2023-11-23,,,B697489945,Pathfinder,Nissan,1997,32985
305,J011162461,3,217341,2023-06-10,,,F817772523,rio,Volkswagen,1995,2099
306,A825837067,26,1799096,2023-04-22,,,W976944973,911,Porsche,2008,32784
307,U496952703,3,83934,2023-01-26,,,M033667876,New Beetle,Volkswagen,2012,81058
308,W038984427,9,772821,2023-09-30,,,Q429923717,Frontier,Nissan,2003,66427
309,L213503697,15,605175,2023-03-05,,,L132949567,Express 2500,Chevrolet,2001,47541
310,Q794367626,6,326136,2023-05-09,,,E150444475,Reno,Suzuki,2005,89783
311,V584082770,23,80247,2023-03-19,,,E650661266,J,Infiniti,1993,17573
312,H931881461,30,2403750,2023-08-24,,,U439819936,Tahoe,Chevrolet,2010,47902
313,B251054713,26,1158586,2023-11-09,,,B025826137,Jimmy,GMC,1999,32437
314,O002990821,27,2432943,2023-07-06,,,C392903721,GTI,Volkswagen,2000,97217
315,G988240777,22,1964798,2023-06-06,,,F032211073,Mariner,Mercury,2006,24128
316,Y692860867,2,152178,2023-09-08,,,Y052029588,B-Series,Mazda,1995,27528
317,S155909356,20,179440,2023-03-01,,,H361190830,MDX,Acura,2002,51679
318,Q009275024,12,1062456,2023-05-25,,,N490876449,Raider,Mitsubishi,2009,75312
319,Z348789000,8,396072,2023-12-06,,,U255290453,CLS-Class,Mercedes-Benz,2010,31405
