CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
A000000170,Sports Car,Honda,2021,92697
A000000171,SUV,Ford,2011,78563
A000000172,Pickup,Honda,2000,93815
A000000173,Hybrid,Audi,1992,67389
A000000174,Sports Car,Toyota,1999,91611
A000000175,Coupe,Ford,2012,78837
A000000176,Convertible,Honda,2020,83563
A000000177,SUV,Tesla,2024,97873
A000000178,Electric,Chevrolet,2010,55027
A000000179,Van,Hyundai,1997,88556
A000000180,Sports Car,Honda,2021,92697
A000000181,SUV,Ford,2011,78563
A000000182,Pickup,Honda,2000,93815
A000000183,Hybrid,Audi,1992,67389
A000000184,Sports Car,Toyota,1999,91611
A000000185,Coupe,Ford,2012,78837
A000000186,Convertible,Honda,2020,83563
A000000187,SUV,Tesla,2024,97873
A000000188,Electric,Chevrolet,2010,55027
A000000189,Van,Hyundai,1997,88556
A000000190,Sports Car,Honda,2021,92697
A000000191,SUV,Ford,2011,78563
A000000192,Pickup,Honda,2000,93815
A000000193,Hybrid,Audi,1992,67389
A000000194,Sports Car,Toyota,1999,91611
A000000195,Coupe,Ford,2012,78837
A000000196,Convertible,Honda,2020,83563
A000000197,SUV,Tesla,2024,97873
A000000198,Electric,Chevrolet,2010,55027
A000000199,Van,Hyundai,1997,88556
A000000200,Sports Car,Honda,2021,92697
A000000201,SUV,Ford,2011,78563
A000000202,Pickup,Honda,2000,93815
A000000203,Hybrid,Audi,1992,67389
A000000204,Sports Car,Toyota,1999,91611
A000000205,Coupe,Ford,2012,78837
A000000206,Convertible,Honda,2020,83563
A000000207,SUV,Tesla,2024,97873
A000000208,Electric,Chevrolet,2010,55027
A000000209,Van,Hyundai,1997,88556
A000000210,Sports Car,Honda,2021,92697
A000000211,SUV,Ford,2011,78563
A000000212,Pickup,Honda,2000,93815
A000000213,Hybrid,Audi,1992,67389
A000000214,Sports Car,Toyota,1999,91611
A000000215,Coupe,Ford,2012,78837
A000000216,Convertible,Honda,2020,83563
A000000217,SUV,Tesla,2024,97873
A000000218,Electric,Chevrolet,2010,55027
A000000219,Van,Hyundai,1997,88556
A000000220,Sports Car,Honda,2021,92697
A000000221,SUV,Ford,2011,78563
A000000222,Pickup,Honda,2000,93815
A000000223,Hybrid,Audi,1992,67389
A000000224,Sports Car,Toyota,1999,91611
A000000225,Coupe,Ford,2012,78837
A000000226,Convertible,Honda,2020,83563
A000000227,SUV,Tesla,2024,97873
A000000228,Electric,Chevrolet,2010,55027
A000000229,Van,Hyundai,1997,88556
A000000230,Sports Car,Honda,2021,92697
A000000231,SUV,Ford,2011,78563
A000000232,Pickup,Honda,2000,93815
A000000233,Hybrid,Audi,1992,67389
A000000234,Sports Car,Toyota,1999,91611
A000000235,Coupe,Ford,2012,78837
A000000236,Convertible,Honda,2020,83563
A000000237,SUV,Tesla,2024,97873
A000000238,Electric,Chevrolet,2010,55027
A000000239,Van,Hyundai,1997,88556
A000000240,Sports Car,Honda,2021,92697
A000000241,SUV,Ford,2011,78563
A000000242,Pickup,Honda,2000,93815
A000000243,Hybrid,Audi,1992,67389
A000000244,Sports Car,Toyota,1999,91611
A000000245,Coupe,Ford,2012,78837
A000000246,Convertible,Honda,2020,83563
A000000247,SUV,Tesla,2024,97873
A000000248,Electric,Chevrolet,2010,55027
A000000249,Van,Hyundai,1997,88556
A000000250,Sports Car,Honda,2021,92697
A000000251,SUV,Ford,2011,78563
A000000252,Pickup,Honda,2000,93815
A000000253,Hybrid,Audi,1992,67389
A000000254,Sports Car,Toyota,1999,91611
A000000255,Coupe,Ford,2012,78837
A000000256,Convertible,Honda,2020,83563
A000000257,SUV,Tesla,2024,97873
A000000258,Electric,Chevrolet,2010,55027
A000000259,Van,Hyundai,1997,88556
A000000260,Sports Car,Honda,2021,92697
A000000261,SUV,Ford,2011,78563
A000000262,Pickup,Honda,2000,93815
A000000263,Hybrid,Audi,1992,67389
A000000264,Sports Car,Toyota,1999,91611
A000000265,Coupe,Ford,2012,78837
A000000266,Convertible,Honda,2020,83563
A000000267,SUV,Tesla,2024,97873
A000000268,Electric,Chevrolet,2010,55027
A000000269,Van,Hyundai,1997,88556
A000000270,Sports Car,Honda,2021,92697
A000000271,SUV,Ford,2011,78563
A000000272,Pickup,Honda,2000,93815
A000000273,Hybrid,Audi,1992,67389
A000000274,Sports Car,Toyota,1999,91611
A000000275,Coupe,Ford,2012,78837
A000000276,Convertible,Honda,2020,83563
A000000277,SUV,Tesla,2024,97873
A000000278,Electric,Chevrolet,2010,55027
A000000279,Van,Hyundai,1997,88556
A000000280,Sports Car,Honda,2021,92697
A000000281,SUV,Ford,2011,78563
A000000282,Pickup,Honda,2000,93815
A000000283,Hybrid,Audi,1992,67389
A000000284,Sports Car,Toyota,1999,91611
A000000285,Coupe,Ford,2012,78837
A000000286,Convertible,Honda,2020,83563
A000000287,SUV,Tesla,2024,97873
A000000288,Electric,Chevrolet,2010,55027
A000000289,Van,Hyundai,1997,88556
A000000290,Sports Car,Honda,2021,92697
A000000291,SUV,Ford,2011,78563
A000000292,Pickup,Honda,2000,93815
A000000293,Hybrid,Audi,1992,67389
A000000294,Sports Car,Toyota,1999,91611
A000000295,Coupe,Ford,2012,78837
A000000296,Convertible,Honda,2020,83563
A000000297,SUV,Tesla,2024,97873
A000000298,Electric,Chevrolet,2010,55027
A000000299,Van,Hyundai,1997,88556
A000000300,Sports Car,Honda,2021,92697
A000000301,SUV,Ford,2011,78563
A000000302,Pickup,Honda,2000,93815
A000000303,Hybrid,Audi,1992,67389
A000000304,Sports Car,Toyota,1999,91611
A000000305,Coupe,Ford,2012,78837
A000000306,Convertible,Honda,2020,83563
A000000307,SUV,Tesla,2024,97873
A000000308,Electric,Chevrolet,2010,55027
A000000309,Van,Hyundai,1997,88556
A000000310,Sports Car,Honda,2021,92697
A000000311,SUV,Ford,2011,78563
A000000312,Pickup,Honda,2000,93815
A000000313,Hybrid,Audi,1992,67389
A000000314,Sports Car,Toyota,1999,91611
A000000315,Coupe,Ford,2012,78837
A000000316,Convertible,Honda,2020,83563
A000000317,SUV,Tesla,2024,97873
A000000318,Electric,Chevrolet,2010,55027
A000000319,Van,Hyundai,1997,88556
A000000320,Sports Car,Honda,2021,92697
A000000321,SUV,Ford,2011,78563
A000000322,Pickup,Honda,2000,93815
A000000323,Hybrid,Audi,1992,67389
A000000324,Sports Car,Toyota,1999,91611
A000000325,Coupe,Ford,2012,78837
A000000326,Convertible,Honda,2020,83563
A000000327,SUV,Tesla,2024,97873
A000000328,Electric,Chevrolet,2010,55027
A000000329,Van,Hyundai,1997,88556
A000000330,Sports Car,Honda,2021,92697
A000000331,SUV,Ford,2011,78563
A000000332,Pickup,Honda,2000,93815
A000000333,Hybrid,Audi,1992,67389
A000000334,Sports Car,Toyota,1999,91611
A000000335,Coupe,Ford,2012,78837
A000000336,Convertible,Honda,2020,83563
A000000337,SUV,Tesla,2024,97873
A000000338,Electric,Chevrolet,2010,55027
A000000339,Van,Hyundai,1997,88556
A000000340,Sports Car,Honda,2021,92697
A000000341,SUV,Ford,2011,78563
A000000342,Pickup,Honda,2000,93815
A000000343,Hybrid,Audi,1992,67389
A000000344,Sports Car,Toyota,1999,91611
A000000345,Coupe,Ford,2012,78837
A000000346,Convertible,Honda,2020,83563
A000000347,SUV,Tesla,2024,97873
A000000348,Electric,Chevrolet,2010,55027
A000000349,Van,Hyundai,1997,88556
A000000350,Sports Car,Honda,2021,92697
A000000351,SUV,Ford,2011,78563
A000000352,Pickup,Honda,2000,93815
A000000353,Hybrid,Audi,1992,67389
A000000354,Sports Car,Toyota,1999,91611
A000000355,Coupe,Ford,2012,78837
A000000356,Convertible,Honda,2020,83563
A000000357,SUV,Tesla,2024,97873
A000000358,Electric,Chevrolet,2010,55027
A000000359,Van,Hyundai,1997,88556
A000000360,Sports Car,Honda,2021,92697
A000000361,SUV,Ford,2011,78563
A000000362,Pickup,Honda,2000,93815
A000000363,Hybrid,Audi,1992,67389
A000000364,Sports Car,Toyota,1999,91611
A000000365,Coupe,Ford,2012,78837
A000000366,Convertible,Honda,2020,83563
A000000367,SUV,Tesla,2024,97873
A000000368,Electric,Chevrolet,2010,55027
A000000369,Van,Hyundai,1997,88556
A000000370,Sports Car,Honda,2021,92697
A000000371,SUV,Ford,2011,78563
A000000372,Pickup,Honda,2000,93815
A000000373,Hybrid,Audi,1992,67389
A000000374,Sports Car,Toyota,1999,91611
A000000375,Coupe,Ford,2012,78837
A000000376,Convertible,Honda,2020,83563
A000000377,SUV,Tesla,2024,97873
A000000378,Electric,Chevrolet,2010,55027
A000000379,Van,Hyundai,1997,88556
A000000380,Sports Car,Honda,2021,92697
A000000381,SUV,Ford,2011,78563
A000000382,Pickup,Honda,2000,93815
A000000383,Hybrid,Audi,1992,67389
A000000384,Sports Car,Toyota,1999,91611
A000000385,Coupe,Ford,2012,78837
A000000386,Convertible,Honda,2020,83563
A000000387,SUV,Tesla,2024,97873
A000000388,Electric,Chevrolet,2010,55027
A000000389,Van,Hyundai,1997,88556
A000000390,Sports Car,Honda,2021,92697
A000000391,SUV,Ford,2011,78563
A000000392,Pickup,Honda,2000,93815
A000000393,Hybrid,Audi,1992,67389
A000000394,Sports Car,Toyota,1999,91611
A000000395,Coupe,Ford,2012,78837
A000000396,Convertible,Honda,2020,83563
A000000397,SUV,Tesla,2024,97873
A000000398,Electric,Chevrolet,2010,55027
A000000399,Van,Hyundai,1997,88556
A000000400,Sports Car,Honda,2021,92697
A000000401,SUV,Ford,2011,78563
A000000402,Pickup,Honda,2000,93815
A000000403,Hybrid,Audi,1992,67389
A000000404,Sports Car,Toyota,1999,91611
A000000405,Coupe,Ford,2012,78837
A000000406,Convertible,Honda,2020,83563
A000000407,SUV,Tesla,2024,97873
A000000408,Electric,Chevrolet,2010,55027
A000000409,Van,Hyundai,1997,88556
A000000410,Sports Car,Honda,2021,92697
A000000411,SUV,Ford,2011,78563
A000000412,Pickup,Honda,2000,93815
A000000413,Hybrid,Audi,1992,67389
A000000414,Sports Car,Toyota,1999,91611
A000000415,Coupe,Ford,2012,78837
A000000416,Convertible,Honda,2020,83563
A000000417,SUV,Tesla,2024,97873
A000000418,Electric,Chevrolet,2010,55027
A000000419,Van,Hyundai,1997,88556
A000000420,Sports Car,Honda,2021,92697
A000000421,SUV,Ford,2011,78563
A000000422,Pickup,Honda,2000,93815
A000000423,Hybrid,Audi,1992,67389
A000000424,Sports Car,Toyota,1999,91611
A000000425,Coupe,Ford,2012,78837
A000000426,Convertible,Honda,2020,83563
A000000427,SUV,Tesla,2024,97873
A000000428,Electric,Chevrolet,2010,55027
A000000429,Van,Hyundai,1997,88556
A000000430,Sports Car,Honda,2021,92697
A000000431,SUV,Ford,2011,78563
A000000432,Pickup,Honda,2000,93815
A000000433,Hybrid,Audi,1992,67389
A000000434,Sports Car,Toyota,1999,91611
A000000435,Coupe,Ford,2012,78837
A000000436,Convertible,Honda,2020,83563
A000000437,SUV,Tesla,2024,97873
A000000438,Electric,Chevrolet,2010,55027
A000000439,Van,Hyundai,1997,88556
A000000440,Sports Car,Honda,2021,92697
A000000441,SUV,Ford,2011,78563
A000000442,Pickup,Honda,2000,93815
A000000443,Hybrid,Audi,1992,67389
A000000444,Sports Car,Toyota,1999,91611
A000000445,Coupe,Ford,2012,78837
A000000446,Convertible,Honda,2020,83563
A000000447,SUV,Tesla,2024,97873
A000000448,Electric,Chevrolet,2010,55027
A000000449,Van,Hyundai,1997,88556
A000000450,Sports Car,Honda,2021,92697
A000000451,SUV,Ford,2011,78563
A000000452,Pickup,Honda,2000,93815
A000000453,Hybrid,Audi,1992,67389
A000000454,Sports Car,Toyota,1999,91611
A000000455,Coupe,Ford,2012,78837
A000000456,Convertible,Honda,2020,83563
A000000457,SUV,Tesla,2024,97873
A000000458,Electric,Chevrolet,2010,55027
A000000459,Van,Hyundai,1997,88556
A000000460,Sports Car,Honda,2021,92697
A000000461,SUV,Ford,2011,78563
A000000462,Pickup,Honda,2000,93815
A000000463,Hybrid,Audi,1992,67389
A000000464,Sports Car,Toyota,1999,91611
A000000465,Coupe,Ford,2012,78837
A000000466,Convertible,Honda,2020,83563
A000000467,SUV,Tesla,2024,97873
A000000468,Electric,Chevrolet,2010,55027
A000000469,Van,Hyundai,1997,88556
A000000470,Sports Car,Honda,2021,92697
A000000471,SUV,Ford,2011,78563
A000000472,Pickup,Honda,2000,93815
A000000473,Hybrid,Audi,1992,67389
A000000474,Sports Car,Toyota,1999,91611
A000000475,Coupe,Ford,2012,78837
A000000476,Convertible,Honda,2020,83563
A000000477,SUV,Tesla,2024,97873
A000000478,Electric,Chevrolet,2010,55027
A000000479,Van,Hyundai,1997,88556
A000000480,Sports Car,Honda,2021,92697
A000000481,SUV,Ford,2011,78563
A000000482,Pickup,Honda,2000,93815
A000000483,Hybrid,Audi,1992,67389
A000000484,Sports Car,Toyota,1999,91611
A000000485,Coupe,Ford,2012,78837
A000000486,Convertible,Honda,2020,83563
A000000487,SUV,Tesla,2024,97873
A000000488,Electric,Chevrolet,2010,55027
A000000489,Van,Hyundai,1997,88556
A000000490,Sports Car,Honda,2021,92697
A000000491,SUV,Ford,2011,78563
A000000492,Pickup,Honda,2000,93815
A000000493,Hybrid,Audi,1992,67389
A000000494,Sports Car,Toyota,1999,91611
A000000495,Coupe,Ford,2012,78837
A000000496,Convertible,Honda,2020,83563
A000000497,SUV,Tesla,2024,97873
A000000498,Electric,Chevrolet,2010,55027
A000000499,Van,Hyundai,1997,88556
A000000500,Sports Car,Honda,2021,92697
A000000501,SUV,Ford,2011,78563
A000000502,Pickup,Honda,2000,93815
A000000503,Hybrid,Audi,1992,67389
A000000504,Sports Car,Toyota,1999,91611
A000000505,Coupe,Ford,2012,78837
A000000506,Convertible,Honda,2020,83563
A000000507,SUV,Tesla,2024,97873
A000000508,Electric,Chevrolet,2010,55027
A000000509,Van,Hyundai,1997,88556
A000000510,Sports Car,Honda,2021,92697
A000000511,SUV,Ford,2011,78563
A000000512,Pickup,Honda,2000,93815
A000000513,Hybrid,Audi,1992,67389
A000000514,Sports Car,Toyota,1999,91611
A000000515,Coupe,Ford,2012,78837
A000000516,Convertible,Honda,2020,83563
A000000517,SUV,Tesla,2024,97873
A000000518,Electric,Chevrolet,2010,55027
A000000519,Van,Hyundai,1997,88556
A000000520,Sports Car,Honda,2021,92697
A000000521,SUV,Ford,2011,78563
A000000522,Pickup,Honda,2000,93815
A000000523,Hybrid,Audi,1992,67389
A000000524,Sports Car,Toyota,1999,91611
A000000525,Coupe,Ford,2012,78837
A000000526,Convertible,Honda,2020,83563
A000000527,SUV,Tesla,2024,97873
A000000528,Electric,Chevrolet,2010,55027
A000000529,Van,Hyundai,1997,88556
A000000530,Sports Car,Honda,2021,92697
A000000531,SUV,Ford,2011,78563
A000000532,Pickup,Honda,2000,93815
A000000533,Hybrid,Audi,1992,67389
A000000534,Sports Car,Toyota,1999,91611
A000000535,Coupe,Ford,2012,78837
A000000536,Convertible,Honda,2020,83563
A000000537,SUV,Tesla,2024,97873
A000000538,Electric,Chevrolet,2010,55027
A000000539,Van,Hyundai,1997,88556
A000000540,Sports Car,Honda,2021,92697
A000000541,SUV,Ford,2011,78563
A000000542,Pickup,Honda,2000,93815
A000000543,Hybrid,Audi,1992,67389
A000000544,Sports Car,Toyota,1999,91611
A000000545,Coupe,Ford,2012,78837
A000000546,Convertible,Honda,2020,83563
A000000547,SUV,Tesla,2024,97873
A000000548,Electric,Chevrolet,2010,55027
A000000549,Van,Hyundai,1997,88556
A000000550,Sports Car,Honda,2021,92697
A000000551,SUV,Ford,2011,78563
A000000552,Pickup,Honda,2000,93815
A000000553,Hybrid,Audi,1992,67389
A000000554,Sports Car,Toyota,1999,91611
A000000555,Coupe,Ford,2012,78837
A000000556,Convertible,Honda,2020,83563
A000000557,SUV,Tesla,2024,97873
A000000558,Electric,Chevrolet,2010,55027
A000000559,Van,Hyundai,1997,88556
A000000560,Sports Car,Honda,2021,92697
A000000561,SUV,Ford,2011,78563
A000000562,Pickup,Honda,2000,93815
A000000563,Hybrid,Audi,1992,67389
A000000564,Sports Car,Toyota,1999,91611
A000000565,Coupe,Ford,2012,78837
A000000566,Convertible,Honda,2020,83563
A000000567,SUV,Tesla,2024,97873
A000000568,Electric,Chevrolet,2010,55027
A000000569,Van,Hyundai,1997,88556
A000000570,Sports Car,Honda,2021,92697
A000000571,SUV,Ford,2011,78563
A000000572,Pickup,Honda,2000,93815
A000000573,Hybrid,Audi,1992,67389
A000000574,Sports Car,Toyota,1999,91611
A000000575,Coupe,Ford,2012,78837
A000000576,Convertible,Honda,2020,83563
A000000577,SUV,Tesla,2024,97873
A000000578,Electric,Chevrolet,2010,55027
A000000579,Van,Hyundai,1997,88556
A000000580,Sports Car,Honda,2021,92697
A000000581,SUV,Ford,2011,78563
A000000582,Pickup,Honda,2000,93815
A000000583,Hybrid,Audi,1992,67389
A000000584,Sports Car,Toyota,1999,91611
A000000585,Coupe,Ford,2012,78837
A000000586,Convertible,Honda,2020,83563
A000000587,SUV,Tesla,2024,97873
A000000588,Electric,Chevrolet,2010,55027
A000000589,Van,Hyundai,1997,88556
A000000590,Sports Car,Honda,2021,92697
A000000591,SUV,Ford,2011,78563
A000000592,Pickup,Honda,2000,93815
A000000593,Hybrid,Audi,1992,67389
A000000594,Sports Car,Toyota,1999,91611
A000000595,Coupe,Ford,2012,78837
A000000596,Convertible,Honda,2020,83563
A000000597,SUV,Tesla,2024,97873
A000000598,Electric,Chevrolet,2010,55027
A000000599,Van,Hyundai,1997,88556
A000000600,Sports Car,Honda,2021,92697
A000000601,SUV,Ford,2011,78563
A000000602,Pickup,Honda,2000,93815
A000000603,Hybrid,Audi,1992,67389
A000000604,Sports Car,Toyota,1999,91611
A000000605,Coupe,Ford,2012,78837
A000000606,Convertible,Honda,2020,83563
A000000607,SUV,Tesla,2024,97873
A000000608,Electric,Chevrolet,2010,55027
A000000609,Van,Hyundai,1997,88556
A000000610,Sports Car,Honda,2021,92697
A000000611,SUV,Ford,2011,78563
A000000612,Pickup,Honda,2000,93815
A000000613,Hybrid,Audi,1992,67389
A000000614,Sports Car,Toyota,1999,91611
A000000615,Coupe,Ford,2012,78837
A000000616,Convertible,Honda,2020,83563
A000000617,SUV,Tesla,2024,97873
A000000618,Electric,Chevrolet,2010,55027
A000000619,Van,Hyundai,1997,88556
A000000620,Sports Car,Honda,2021,92697
A000000621,SUV,Ford,2011,78563
A000000622,Pickup,Honda,2000,93815
A000000623,Hybrid,Audi,1992,67389
A000000624,Sports Car,Toyota,1999,91611
A000000625,Coupe,Ford,2012,78837
A000000626,Convertible,Honda,2020,83563
A000000627,SUV,Tesla,2024,97873
A000000628,Electric,Chevrolet,2010,55027
A000000629,Van,Hyundai,1997,88556
A000000630,Sports Car,Honda,2021,92697
A000000631,SUV,Ford,2011,78563
A000000632,Pickup,Honda,2000,93815
A000000633,Hybrid,Audi,1992,67389
A000000634,Sports Car,Toyota,1999,91611
A000000635,Coupe,Ford,2012,78837
A000000636,Convertible,Honda,2020,83563
A000000637,SUV,Tesla,2024,97873
A000000638,Electric,Chevrolet,2010,55027
A000000639,Van,Hyundai,1997,88556
A000000640,Sports Car,Honda,2021,92697
A000000641,SUV,Ford,2011,78563
A000000642,Pickup,Honda,2000,93815
A000000643,Hybrid,Audi,1992,67389
A000000644,Sports Car,Toyota,1999,91611
A000000645,Coupe,Ford,2012,78837
A000000646,Convertible,Honda,2020,83563
A000000647,SUV,Tesla,2024,97873
A000000648,Electric,Chevrolet,2010,55027
A000000649,Van,Hyundai,1997,88556
A000000650,Sports Car,Honda,2021,92697
A000000651,SUV,Ford,2011,78563
A000000652,Pickup,Honda,2000,93815
A000000653,Hybrid,Audi,1992,67389
A000000654,Sports Car,Toyota,1999,91611
A000000655,Coupe,Ford,2012,78837
A000000656,Convertible,Honda,2020,83563
A000000657,SUV,Tesla,2024,97873
A000000658,Electric,Chevrolet,2010,55027
A000000659,Van,Hyundai,1997,88556
A000000660,Sports Car,Honda,2021,92697
A000000661,SUV,Ford,2011,78563
A000000662,Pickup,Honda,2000,93815
A000000663,Hybrid,Audi,1992,67389
A000000664,Sports Car,Toyota,1999,91611
A000000665,Coupe,Ford,2012,78837
A000000666,Convertible,Honda,2020,83563
A000000667,SUV,Tesla,2024,97873
A000000668,Electric,Chevrolet,2010,55027
A000000669,Van,Hyundai,1997,88556
A000000670,Sports Car,Honda,2021,92697
A000000671,SUV,Ford,2011,78563
A000000672,Pickup,Honda,2000,93815
A000000673,Hybrid,Audi,1992,67389
A000000674,Sports Car,Toyota,1999,91611
A000000675,Coupe,Ford,2012,78837
A000000676,Convertible,Honda,2020,83563
A000000677,SUV,Tesla,2024,97873
A000000678,Electric,Chevrolet,2010,55027
